benchmark,set_size,recurring_pct,run,pid_threshold,n_recurring_expected,n_after_filter,t_total_ms,t_link_ms,t_decrypt_ms,t_per_input_cft_ms,t_ngo_ms,t_judge_ms,t_police_ms
direct-decrypt,50,10,9,5,5,50,1204.413419,0,1204.413419,24.08826838,394.844708,393.000047,416.568664
direct-decrypt,50,10,10,5,5,50,1200.11798,0,1200.11798,24.0023596,394.442517,391.332768,414.342695
direct-decrypt,50,20,1,5,10,50,1201.465565,0,1201.465565,24.0293113,391.806022,394.786972,414.872571
direct-decrypt,50,20,2,5,10,50,1202.374272,0,1202.374272,24.04748544,393.540064,393.413519,415.420689
direct-decrypt,50,20,3,5,10,50,1200.070501,0,1200.070501,24.001410019999998,394.055561,391.722156,414.292784
direct-decrypt,50,20,4,5,10,50,1199.688102,0,1199.688102,23.99376204,392.888758,393.085091,413.714253
direct-decrypt,50,20,5,5,10,50,1204.156828,0,1204.156828,24.08313656,394.747488,393.695652,415.713688
direct-decrypt,50,20,6,5,10,50,1203.716464,0,1203.716464,24.07432928,393.630459,394.096418,415.989587
direct-decrypt,50,20,7,5,10,50,1202.197557,0,1202.197557,24.04395114,395.511116,392.466672,414.219769
direct-decrypt,50,20,8,5,10,50,1201.55489,0,1201.55489,24.031097799999998,393.401344,394.548511,413.605035
direct-decrypt,50,20,9,5,10,50,1201.725563,0,1201.725563,24.03451126,393.251437,393.226781,415.247345
direct-decrypt,50,20,10,5,10,50,1200.087043,0,1200.087043,24.001740859999998,392.241987,392.724874,415.120182
direct-decrypt,50,50,1,5,25,50,1200.792327,0,1200.792327,24.01584654,392.854064,393.747691,414.190572
direct-decrypt,50,50,2,5,25,50,1202.955185,0,1202.955185,24.0591037,393.971774,393.985484,414.997927
direct-decrypt,50,50,3,5,25,50,1202.967664,0,1202.967664,24.05935328,393.601124,394.773654,414.592886
direct-decrypt,50,50,4,5,25,50,1206.185772,0,1206.185772,24.12371544,395.109131,394.573841,416.5028
direct-decrypt,50,50,5,5,25,50,1202.610377,0,1202.610377,24.052207539999998,394.598483,393.620921,414.390973
direct-decrypt,50,50,6,5,25,50,1200.385652,0,1200.385652,24.00771304,393.305362,391.626806,415.453484
direct-decrypt,50,50,7,5,25,50,1198.989375,0,1198.989375,23.9797875,392.129928,392.695526,414.163921
direct-decrypt,50,50,8,5,25,50,1199.093817,0,1199.093817,23.98187634,391.881961,393.113334,414.098522
direct-decrypt,50,50,9,5,25,50,1200.57816,0,1200.57816,24.0115632,392.496168,393.241576,414.840416
direct-decrypt,50,50,10,5,25,50,1199.114418,0,1199.114418,23.98228836,392.819036,392.386476,413.908906
direct-decrypt,100,10,1,10,10,100,2413.046061,0,2413.046061,24.13046061,791.361638,790.461081,831.223342
direct-decrypt,100,10,2,10,10,100,2407.551576,0,2407.551576,24.07551576,785.421276,789.208876,832.921424
direct-decrypt,100,10,3,10,10,100,2410.820336,0,2410.820336,24.10820336,789.290263,790.171478,831.358595
direct-decrypt,100,10,4,10,10,100,2407.924438,0,2407.924438,24.07924438,789.006039,787.549861,831.368538
direct-decrypt,100,10,5,10,10,100,2405.530862,0,2405.530862,24.05530862,788.66863,787.96635,828.895882
direct-decrypt,100,10,6,10,10,100,2400.163305,0,2400.163305,24.00163305,786.521431,783.277502,830.364372
direct-decrypt,100,10,7,10,10,100,2414.164087,0,2414.164087,24.14164087,795.805456,788.025971,830.33266
direct-decrypt,100,10,8,10,10,100,2403.369328,0,2403.369328,24.03369328,789.693047,785.269117,828.407164
direct-decrypt,100,10,9,10,10,100,2405.711099,0,2405.711099,24.05711099,789.13466,784.736452,831.839987
direct-decrypt,100,10,10,10,10,100,2413.411979,0,2413.411979,24.13411979,788.694845,795.626829,829.090305
direct-decrypt,100,20,1,10,20,100,2405.00135,0,2405.00135,24.0500135,785.327607,786.957451,832.716292
direct-decrypt,100,20,2,10,20,100,2401.330746,0,2401.330746,24.01330746,784.1765,785.502967,831.651279
direct-decrypt,100,20,3,10,20,100,2403.811418,0,2403.811418,24.038114179999997,788.158121,786.097102,829.556195
direct-decrypt,100,20,4,10,20,100,2399.869883,0,2399.869883,23.99869883,784.474178,787.910516,827.485189
direct-decrypt,100,20,5,10,20,100,2408.64491,0,2408.64491,24.0864491,790.675422,788.522277,829.447211
direct-decrypt,100,20,6,10,20,100,2402.171384,0,2402.171384,24.021713840000004,785.988261,785.7427,830.440423
direct-decrypt,100,20,7,10,20,100,2413.218751,0,2413.218751,24.132187509999998,798.288148,786.268068,828.662535
direct-decrypt,100,20,8,10,20,100,2413.312548,0,2413.312548,24.13312548,789.309847,785.770758,838.231943
direct-decrypt,100,20,9,10,20,100,2402.423669,0,2402.423669,24.02423669,785.774875,785.83348,830.815314
direct-decrypt,100,20,10,10,20,100,2412.060409,0,2412.060409,24.12060409,789.994918,790.920057,831.145434
direct-decrypt,100,50,1,10,50,100,2414.770018,0,2414.770018,24.14770018,791.657596,791.596461,831.515961
direct-decrypt,100,50,2,10,50,100,2403.282254,0,2403.282254,24.03282254,787.402757,785.393543,830.485954
direct-decrypt,100,50,3,10,50,100,2401.723446,0,2401.723446,24.01723446,788.467846,787.193809,826.061791
direct-decrypt,100,50,4,10,50,100,2402.45123,0,2402.45123,24.0245123,790.161143,784.336987,827.9531
direct-decrypt,100,50,5,10,50,100,2406.025105,0,2406.025105,24.06025105,786.321672,787.686099,832.017334
direct-decrypt,100,50,6,10,50,100,2446.55034,0,2446.55034,24.4655034,834.157567,783.423728,828.969045
direct-decrypt,100,50,7,10,50,100,2405.363092,0,2405.363092,24.05363092,785.652811,787.18747,832.522811
direct-decrypt,100,50,8,10,50,100,2406.466018,0,2406.466018,24.06466018,788.514993,785.986561,831.964464
direct-decrypt,100,50,9,10,50,100,2402.079163,0,2402.079163,24.020791629999998,787.684923,784.085348,830.308892
direct-decrypt,100,50,10,10,50,100,2408.154485,0,2408.154485,24.08154485,788.247638,787.944979,831.961868
direct-decrypt,500,10,1,50,50,500,11952.556126,0,11952.556126,23.905112252,3906.019232,3905.14807,4141.388824
direct-decrypt,500,10,2,50,50,500,11964.213262,0,11964.213262,23.928426524,3898.230795,3915.460429,4150.522038
direct-decrypt,500,10,3,50,50,500,12080.734561,0,12080.734561,24.161469122,3932.222658,3940.797115,4207.714788
direct-decrypt,500,10,4,50,50,500,12052.935712,0,12052.935712,24.105871424,3953.69968,3935.896184,4163.339848
direct-decrypt,500,10,5,50,50,500,12043.760039,0,12043.760039,24.087520078,3957.574957,3928.703344,4157.481738
direct-decrypt,500,10,6,50,50,500,12005.647097,0,12005.647097,24.011294193999998,3930.556084,3928.730185,4146.360828
direct-decrypt,500,10,7,50,50,500,12012.492534,0,12012.492534,24.024985068000003,3933.887097,3933.592917,4145.01252
direct-decrypt,500,10,8,50,50,500,12022.590138,0,12022.590138,24.045180276,3920.007402,3943.521461,4159.061275
direct-decrypt,500,10,9,50,50,500,12048.015925,0,12048.015925,24.09603185,3943.058539,3946.74197,4158.215416
direct-decrypt,500,10,10,50,50,500,12054.550368,0,12054.550368,24.109100736000002,3930.415121,3950.13598,4173.999267
direct-decrypt,500,20,1,50,100,500,12035.126256,0,12035.126256,24.070252512,3942.137868,3954.14522,4138.843168
direct-decrypt,500,20,2,50,100,500,12039.678444,0,12039.678444,24.079356888,3944.763534,3944.059149,4150.855761
direct-decrypt,500,20,3,50,100,500,12020.712733,0,12020.712733,24.041425466,3944.617457,3924.940261,4151.155015
direct-decrypt,500,20,4,50,100,500,12026.7256,0,12026.7256,24.053451199999998,3964.538412,3930.042017,4132.145171
direct-decrypt,500,20,5,50,100,500,12009.699969,0,12009.699969,24.019399938,3919.849793,3934.958647,4154.891529
direct-decrypt,500,20,6,50,100,500,12024.608775,0,12024.608775,24.04921755,3930.975338,3934.667448,4158.965989
direct-decrypt,500,20,7,50,100,500,12024.677046,0,12024.677046,24.049354092,3936.47541,3934.614892,4153.586744
direct-decrypt,500,20,8,50,100,500,12048.0746,0,12048.0746,24.0961492,3947.510335,3948.126729,4152.437536
direct-decrypt,500,20,9,50,100,500,11977.19783,0,11977.19783,23.95439566,3911.93456,3916.187924,4149.075346
direct-decrypt,500,20,10,50,100,500,12079.422718,0,12079.422718,24.158845436,3939.047822,3944.991019,4195.383877
direct-decrypt,500,50,1,50,250,500,12222.987952,0,12222.987952,24.445975903999997,3950.070897,4110.385073,4162.531982
direct-decrypt,500,50,2,50,250,500,12009.140369,0,12009.140369,24.018280738,3929.842673,3937.233932,4142.063764
direct-decrypt,500,50,3,50,250,500,12036.841708,0,12036.841708,24.073683416,3933.991893,3939.352494,4163.497321
direct-decrypt,500,50,4,50,250,500,12121.228376,0,12121.228376,24.242456752,3986.762594,3980.24872,4154.217062
direct-decrypt,500,50,5,50,250,500,11977.449216,0,11977.449216,23.954898432,3920.684746,3911.762925,4145.001545
direct-decrypt,500,50,6,50,250,500,11988.819265,0,11988.819265,23.97763853,3930.505363,3925.858113,4132.455789
direct-decrypt,500,50,7,50,250,500,11981.950128,0,11981.950128,23.963900256000002,3925.560363,3915.404444,4140.985321
direct-decrypt,500,50,8,50,250,500,12040.538625,0,12040.538625,24.08107725,3930.246626,3952.553864,4157.738135
direct-decrypt,500,50,9,50,250,500,12003.030257,0,12003.030257,24.006060514,3919.947378,3932.723962,4150.358917
