benchmark,set_size,runs,n_after_filter_mean,t_total_mean_ms,t_total_std_ms,t_link_mean_ms,t_decrypt_mean_ms,t_per_input_cft_mean_ms
mpc-decrypt,10,10,10,581.281,15.883,0.000,581.281,58.1281
mpc-decrypt,20,10,20,1866.197,13.407,0.000,1866.197,93.3098
mpc-decrypt,50,10,50,10674.764,49.882,0.000,10674.764,213.4953
mpc-decrypt,100,10,100,41567.358,267.620,0.000,41567.358,415.6736
mpc-decrypt,200,10,200,164364.209,312.313,0.000,164364.209,821.8210
mpc-decrypt,300,10,300,364652.883,2508.089,0.000,364652.883,1215.5096
mpc-decrypt,400,10,400,648863.358,4036.009,0.000,648863.358,1622.1584
mpc-decrypt,500,10,500,994407.258,2152.462,0.000,994407.258,1988.8145
